Area,Item,Year,Export_V(1000USD),Import_V(1000USD)
Cambodia,Garlic,2009,0.0,0.0
Cambodia,Garlic,2010,0.0,278.0
Cambodia,Garlic,2011,0.0,447.0
Cambodia,Garlic,2012,0.0,418.0
Cambodia,Garlic,2013,0.0,1192.0
Cambodia,Maize,2008,32036.0,6000.0
Cambodia,Maize,2009,9339.0,4500.0
Cambodia,Maize,2010,26357.0,1217.0
Cambodia,Maize,2011,4244.0,2243.0
Cambodia,Maize,2012,5665.0,2379.0
Cambodia,Maize,2013,1470.0,2762.0
Cambodia,Maize,2014,675.0,1009.0
Cambodia,Maize,2015,609.0,802.0
Cambodia,Maize,2016,483.0,3691.0
Cambodia,Maize,2017,13097.0,7742.0
Cambodia,Maize,2018,18029.0,5242.0
Cambodia,"Meat, cattle",2008,0.0,259.0
Cambodia,"Meat, cattle",2009,0.0,77.0
Cambodia,"Meat, cattle",2010,0.0,62.0
Cambodia,"Meat, cattle",2011,0.0,59.0
Cambodia,"Meat, cattle",2012,0.0,26.0
Cambodia,"Meat, cattle",2013,0.0,54.0
Cambodia,"Meat, cattle",2016,578.0,845.0
Cambodia,"Meat, chicken",2008,0.0,106.0
Cambodia,"Meat, chicken",2009,0.0,103.0
Cambodia,"Meat, chicken",2010,0.0,270.0
Cambodia,"Meat, chicken",2011,0.0,661.0
Cambodia,"Meat, chicken",2012,53.0,723.0
Cambodia,"Meat, chicken",2013,0.0,1347.0
Cambodia,"Meat, chicken",2015,21.0,30.0
Cambodia,"Meat, chicken",2018,16.0,13614.0
Cambodia,"Milk, whole fresh cow",2008,0.0,10460.0
Cambodia,"Milk, whole fresh cow",2009,0.0,12480.0
Cambodia,"Milk, whole fresh cow",2010,0.0,906.0
Cambodia,"Milk, whole fresh cow",2011,0.0,1200.0
Cambodia,"Milk, whole fresh cow",2012,0.0,1117.0
Cambodia,"Milk, whole fresh cow",2013,0.0,3474.0
Cambodia,"Milk, whole fresh cow",2015,3.0,4723.0
Cambodia,"Milk, whole fresh cow",2016,2.0,6301.0
Cambodia,"Milk, whole fresh cow",2017,14.0,36532.0
Cambodia,"Oil, palm kernel",2008,,
Cambodia,"Oil, palm kernel",2009,,
Cambodia,"Oil, palm kernel",2010,631.0,
Cambodia,"Oil, palm kernel",2011,1463.0,4.0
Cambodia,"Oil, palm kernel",2012,1153.0,0.0
Cambodia,"Oil, palm kernel",2013,1603.0,0.0
Cambodia,"Oil, palm kernel",2014,1711.0,36.0
Cambodia,"Oil, palm kernel",2015,1732.0,6.0
Cambodia,"Oil, palm kernel",2016,1695.0,181.0
Cambodia,"Oil, palm kernel",2017,1713.0,1.0
Cambodia,"Oil, palm kernel",2018,2071.0,0.0
Cambodia,"Onions, dry",2008,,0.0
