Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","406","Garlic","2007","2007","tonnes","898","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","406","Garlic","2008","2008","tonnes","1333","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","406","Garlic","2009","2009","tonnes","930","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","406","Garlic","2010","2010","tonnes","887","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","406","Garlic","2011","2011","tonnes","922","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","406","Garlic","2012","2012","tonnes","845","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","406","Garlic","2013","2013","tonnes","875","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","406","Garlic","2014","2014","tonnes","1141","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","406","Garlic","2015","2015","tonnes","1009","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","406","Garlic","2016","2016","tonnes","913","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","406","Garlic","2017","2017","tonnes","1055","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","406","Garlic","2018","2018","tonnes","792","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2000","2000","tonnes","6300","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2001","2001","tonnes","12650","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2002","2002","tonnes","2631","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2003","2003","tonnes","2264","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2004","2004","tonnes","2388","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2005","2005","tonnes","4559","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2006","2006","tonnes","626","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2007","2007","tonnes","145","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2008","2008","tonnes","392","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2009","2009","tonnes","1233","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2010","2010","tonnes","3635","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2011","2011","tonnes","5401","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2012","2012","tonnes","4401","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2013","2013","tonnes","5168","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2014","2014","tonnes","14788","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2015","2015","tonnes","872","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2016","2016","tonnes","728","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2017","2017","tonnes","410","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","56","Maize","2018","2018","tonnes","606","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2000","2000","tonnes","20","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2001","2001","tonnes","0","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2002","2002","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2003","2003","tonnes","13","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2004","2004","tonnes","12","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2005","2005","tonnes","216","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2006","2006","tonnes","456","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2007","2007","tonnes","355","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2008","2008","tonnes","311","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2009","2009","tonnes","312","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2010","2010","tonnes","209","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2011","2011","tonnes","188","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2012","2012","tonnes","243","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2013","2013","tonnes","427","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2014","2014","tonnes","210","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2015","2015","tonnes","118","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2016","2016","tonnes","201","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2017","2017","tonnes","148","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","867","Meat, cattle","2018","2018","tonnes","373","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2000","2000","tonnes","920","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2001","2001","tonnes","700","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2002","2002","tonnes","39","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2003","2003","tonnes","56","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2004","2004","tonnes","90","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2005","2005","tonnes","214","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2006","2006","tonnes","114","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2007","2007","tonnes","241","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2008","2008","tonnes","175","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2009","2009","tonnes","721","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2010","2010","tonnes","447","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2011","2011","tonnes","877","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2012","2012","tonnes","609","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2013","2013","tonnes","684","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2014","2014","tonnes","182","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2015","2015","tonnes","1141","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2016","2016","tonnes","938","","Official data"
