Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","977","Meat, sheep","2008","2008","1000 US$","0","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","977","Meat, sheep","2009","2009","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","977","Meat, sheep","2010","2010","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","977","Meat, sheep","2011","2011","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","977","Meat, sheep","2012","2012","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","977","Meat, sheep","2013","2013","1000 US$","1","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","977","Meat, sheep","2018","2018","1000 US$","1","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","882","Milk, whole fresh cow","2008","2008","1000 US$","2","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","882","Milk, whole fresh cow","2009","2009","1000 US$","2","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","882","Milk, whole fresh cow","2010","2010","1000 US$","2","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","882","Milk, whole fresh cow","2011","2011","1000 US$","2","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","882","Milk, whole fresh cow","2012","2012","1000 US$","2","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","882","Milk, whole fresh cow","2013","2013","1000 US$","819","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","882","Milk, whole fresh cow","2014","2014","1000 US$","2515","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","882","Milk, whole fresh cow","2015","2015","1000 US$","0","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","882","Milk, whole fresh cow","2016","2016","1000 US$","4","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","882","Milk, whole fresh cow","2017","2017","1000 US$","0","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","882","Milk, whole fresh cow","2018","2018","1000 US$","1","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","258","Oil, palm kernel","2008","2008","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","258","Oil, palm kernel","2009","2009","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","258","Oil, palm kernel","2010","2010","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","258","Oil, palm kernel","2011","2011","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","258","Oil, palm kernel","2012","2012","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","258","Oil, palm kernel","2013","2013","1000 US$","28","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","403","Onions, dry","2008","2008","1000 US$","1","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","403","Onions, dry","2009","2009","1000 US$","1","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","403","Onions, dry","2010","2010","1000 US$","1","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","403","Onions, dry","2011","2011","1000 US$","1","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","403","Onions, dry","2012","2012","1000 US$","1","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","403","Onions, dry","2013","2013","1000 US$","1077","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","403","Onions, dry","2014","2014","1000 US$","2304","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","403","Onions, dry","2015","2015","1000 US$","44","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","403","Onions, dry","2016","2016","1000 US$","43","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","403","Onions, dry","2017","2017","1000 US$","6","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","403","Onions, dry","2018","2018","1000 US$","0","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","27","Rice, paddy","2014","2014","1000 US$","3","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5922","Export Value","27","Rice, paddy","2017","2017","1000 US$","0","","Official data"
"TP","Crops and livestock products","115","Cambodia","5922","Export Value","486","Bananas","2008","2008","1000 US$","","M","Data not available"
"TP","Crops and livestock products","115","Cambodia","5922","Export Value","486","Bananas","2009","2009","1000 US$","","M","Data not available"
"TP","Crops and livestock products","115","Cambodia","5922","Export Value","486","Bananas","2010","2010","1000 US$","","M","Data not available"
"TP","Crops and livestock products","115","Cambodia","5922","Export Value","486","Bananas","2011","2011","1000 US$","0","","Official data"
"TP","Crops and livestock products","115","Cambodia","5922","Export Value","486","Bananas","2012","2012","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","115","Cambodia","5922","Export Value","486","Bananas","2013","2013","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","115","Cambodia","5922","Export Value","486","Bananas","2015","2015","1000 US$","0","","Official data"
